head1 breadth1 head2 breadth2 head1 breadth1 head2 breadth2
191    155      179    145     190    159     195    157
195    149      201    152     188    151     187    158
181    148      185    149     163    137     161    130
183    153      188    149     195    155     183    158
176    144      171    142     186    153     173    148
208    157      192    152     181    145     182    146
189    150      190    149     175    140     165    137
197    159      189    152     192    154     185    152
188    152      197    159     174    143     178    147
192    150      187    151     176    139     176    143
179    158      186    148     197    167     200    158
183    147      174    147     190    163     187    150
174    150      185    152
